#protein_ID	protein_accession	Gene_ID	Gene_symbol
1944817515	XP_038047530	ECB-GENE-25446716	LOC119721517
1944817518	XP_038047538	ECB-GENE-25446716	LOC119721517
1944817522	XP_038047546	ECB-GENE-25446716	LOC119721517
1944817525	XP_038047557	ECB-GENE-25446737	LOC119721546
1944817530	XP_038047564	ECB-GENE-25446737	LOC119721546
1944817533	XP_038047574	ECB-GENE-25446749	LOC119721564
1944817536	XP_038047584	ECB-GENE-25446759	LOC119721575
1944817539	XP_038047592	ECB-GENE-25446759	LOC119721575
1944817542	XP_038047600	ECB-GENE-25446759	LOC119721575
1944817545	XP_038047606	ECB-GENE-25446759	LOC119721575
1944817561	XP_038047612	ECB-GENE-25446770	LOC119721605
1944817564	XP_038047613	ECB-GENE-25446775	LOC119721621
1944817579	XP_038047614	ECB-GENE-25446779	LOC119721637
1944817592	XP_038047615	ECB-GENE-25446779	LOC119721637
1944817609	XP_038047616	ECB-GENE-25446779	LOC119721637
1944817633	XP_038047617	ECB-GENE-25446779	LOC119721637
1944817645	XP_038047618	ECB-GENE-25446779	LOC119721637
1944817654	XP_038047622	ECB-GENE-25446792	LOC119721726
1944817663	XP_038047634	ECB-GENE-25446797	LOC119721737
1944817667	XP_038047638	ECB-GENE-25446802	LOC119721742
1944817670	XP_038047642	ECB-GENE-25446807	LOC119721745
1944817673	XP_038047645	ECB-GENE-25446807	LOC119721745
1944817680	XP_038047664	ECB-GENE-25446814	LOC119721774
1944817683	XP_038047672	ECB-GENE-25446819	LOC119721783
1944817709	XP_038047681	ECB-GENE-25446824	LOC119721792
1944817854	XP_038047821	ECB-GENE-25446982	LOC119721935
1944817859	XP_038047833	ECB-GENE-25447008	LOC119721942
1944817862	XP_038047838	ECB-GENE-25447008	LOC119721942
1944817865	XP_038047846	ECB-GENE-25447008	LOC119721942
1944817879	XP_038047858	ECB-GENE-25447046	LOC119721965
1944817891	XP_038047866	ECB-GENE-25447046	LOC119721965
1944817904	XP_038047874	ECB-GENE-25447046	LOC119721965
1944817919	XP_038047884	ECB-GENE-25447046	LOC119721965
1944817947	XP_038047907	ECB-GENE-25447137	LOC119722001
1944817965	XP_038047913	ECB-GENE-25447137	LOC119722001
1944818958	XP_038049339	ECB-GENE-25448631	LOC119722973
1944818978	XP_038049346	ECB-GENE-25448631	LOC119722973
1944819011	XP_038049354	ECB-GENE-25448631	LOC119722973
1944819033	XP_038049364	ECB-GENE-25448631	LOC119722973
1944819047	XP_038049373	ECB-GENE-25448631	LOC119722973
1944819064	XP_038049379	ECB-GENE-25448631	LOC119722973
1944819081	XP_038049387	ECB-GENE-25448631	LOC119722973
1944819101	XP_038049396	ECB-GENE-25448631	LOC119722973
1944819119	XP_038049405	ECB-GENE-25448631	LOC119722973
1944819126	XP_038049415	ECB-GENE-25448631	LOC119722973
1944819208	XP_038049546	ECB-GENE-25448827	LOC119723094
1944819213	XP_038049557	ECB-GENE-25448848	LOC119723102
1944819217	XP_038049566	ECB-GENE-25448848	LOC119723102
1944819233	XP_038049576	ECB-GENE-25448848	LOC119723102
1944819236	XP_038049588	ECB-GENE-25448890	LOC119723117
1944819240	XP_038049598	ECB-GENE-25448890	LOC119723117
1944819243	XP_038049606	ECB-GENE-25448890	LOC119723117
1944819247	XP_038049614	ECB-GENE-25448890	LOC119723117
1944819308	XP_038049716	ECB-GENE-25449053	LOC119723222
1944819312	XP_038049724	ECB-GENE-25449053	LOC119723222
1944819316	XP_038049731	ECB-GENE-25449053	LOC119723222
1944819334	XP_038049738	ECB-GENE-25449053	LOC119723222
1944819558	XP_038050247	ECB-GENE-25449771	LOC119723588
1944819579	XP_038050306	ECB-GENE-25449918	LOC119723629
1944819584	XP_038050314	ECB-GENE-25449918	LOC119723629
1944819616	XP_038050422	ECB-GENE-25450089	LOC119723697
1944819621	XP_038050430	ECB-GENE-25450089	LOC119723697
1944819626	XP_038050439	ECB-GENE-25450089	LOC119723697
1944819656	XP_038050502	ECB-GENE-25450213	LOC119723742
1944819709	XP_038050674	ECB-GENE-25450406	LOC119723862
1944819714	XP_038050687	ECB-GENE-25450416	LOC119723870
1944819719	XP_038050695	ECB-GENE-25450416	LOC119723870
1944819740	XP_038050701	ECB-GENE-25450416	LOC119723870
1944819761	XP_038050709	ECB-GENE-25450416	LOC119723870
1944819782	XP_038050718	ECB-GENE-25450416	LOC119723870
1944819816	XP_038050730	ECB-GENE-25450429	LOC119723895
1944819848	XP_038050751	ECB-GENE-25450434	LOC119723915
1944819867	XP_038050759	ECB-GENE-25450434	LOC119723915
1944819896	XP_038050768	ECB-GENE-25450434	LOC119723915
1944819961	XP_038050848	ECB-GENE-25450539	LOC119723995
1944819969	XP_038050857	ECB-GENE-25450559	LOC119724005
1944819988	XP_038050863	ECB-GENE-25450559	LOC119724005
1944820004	XP_038050871	ECB-GENE-25450559	LOC119724005
1944820212	XP_038051102	ECB-GENE-25450707	LOC119724221
1944820215	XP_038051111	ECB-GENE-25450707	LOC119724221
1944820218	XP_038051120	ECB-GENE-25450707	LOC119724221
1944820234	XP_038051161	ECB-GENE-25450797	LOC119724259
1944820242	XP_038051185	ECB-GENE-25450840	LOC119724276
1944820245	XP_038051197	ECB-GENE-25450845	LOC119724285
1944820249	XP_038051211	ECB-GENE-25450870	LOC119724295
1944820253	XP_038051218	ECB-GENE-25450870	LOC119724295
1944820257	XP_038051230	ECB-GENE-25450912	LOC119724309
1944820260	XP_038051237	ECB-GENE-25450912	LOC119724309
1944820264	XP_038051245	ECB-GENE-25450912	LOC119724309
1944820270	XP_038051257	ECB-GENE-25450942	LOC119724329
1944820273	XP_038051270	ECB-GENE-25450973	LOC119724334
1944820328	XP_038051389	ECB-GENE-25451208	LOC119724412
1944820334	XP_038051400	ECB-GENE-25451241	LOC119724420
1944820342	XP_038051409	ECB-GENE-25451241	LOC119724420
1944820348	XP_038051418	ECB-GENE-25451241	LOC119724420
1944820386	XP_038051493	ECB-GENE-25451379	LOC119724485
1944820540	XP_038051764	ECB-GENE-25451805	LOC119724676
1944820543	XP_038051773	ECB-GENE-25451805	LOC119724676
1944820553	XP_038051806	ECB-GENE-25451829	LOC119724700
1944820556	XP_038051814	ECB-GENE-25451829	LOC119724700
1944820560	XP_038051826	ECB-GENE-25451871	LOC119724715
1944820565	XP_038051839	ECB-GENE-25451907	LOC119724723
1944820572	XP_038051851	ECB-GENE-25451919	LOC119724731
1944820577	XP_038051860	ECB-GENE-25451919	LOC119724731
1944820581	XP_038051868	ECB-GENE-25451919	LOC119724731
1944820586	XP_038051882	ECB-GENE-25451969	LOC119724750
1944820591	XP_038051891	ECB-GENE-25451969	LOC119724750
1944820594	XP_038051901	ECB-GENE-25452007	LOC119724763
1944820596	XP_038051913	ECB-GENE-25452024	LOC119724772
1944820598	XP_038051925	ECB-GENE-25452045	LOC119724782
1944820603	XP_038051957	ECB-GENE-25452082	LOC119724806
1944820607	XP_038051983	ECB-GENE-25452133	LOC119724819
1944820612	XP_038051993	ECB-GENE-25452133	LOC119724819
1944820617	XP_038052006	ECB-GENE-25452170	LOC119724829
1944820620	XP_038052014	ECB-GENE-25452170	LOC119724829
1944820807	XP_038052396	ECB-GENE-25452552	LOC119725105
1944820827	XP_038052452	ECB-GENE-25452572	LOC119725161
1944820830	XP_038052459	ECB-GENE-25452572	LOC119725161
1944820833	XP_038052470	ECB-GENE-25452584	LOC119725178
1944820848	XP_038052509	ECB-GENE-25452603	LOC119725222
1944820853	XP_038052512	ECB-GENE-25452603	LOC119725222
1944820856	XP_038052517	ECB-GENE-25452603	LOC119725222
1944820862	XP_038052535	ECB-GENE-25452612	LOC119725262
1944820865	XP_038052544	ECB-GENE-25452612	LOC119725262
1944820868	XP_038052558	ECB-GENE-25452619	LOC119725271
1944820874	XP_038052584	ECB-GENE-25452672	LOC119725285
1944820891	XP_038052631	ECB-GENE-25452720	LOC119725318
1944820897	XP_038052658	ECB-GENE-25452729	LOC119725332
1944820900	XP_038052669	ECB-GENE-25452744	LOC119725342
1944820905	XP_038052680	ECB-GENE-25452749	LOC119725351
1944820908	XP_038052689	ECB-GENE-25452749	LOC119725351
1944820911	XP_038052701	ECB-GENE-25452780	LOC119725365
1944820914	XP_038052708	ECB-GENE-25452780	LOC119725365
1944820917	XP_038052718	ECB-GENE-25452787	LOC119725382
1944820926	XP_038052744	ECB-GENE-25452792	LOC119725409
1944820929	XP_038052756	ECB-GENE-25452802	LOC119725419
1944820932	XP_038052767	ECB-GENE-25452806	LOC119725430
1944820937	XP_038052774	ECB-GENE-25452806	LOC119725430
1944820942	XP_038052781	ECB-GENE-25452806	LOC119725430
1944820978	XP_038052891	ECB-GENE-25452873	LOC119725533
1944820981	XP_038052902	ECB-GENE-25452898	LOC119725539
1944820987	XP_038052929	ECB-GENE-25452939	LOC119725556
1944820992	XP_038052938	ECB-GENE-25452939	LOC119725556
1944821006	XP_038052952	ECB-GENE-25452963	LOC119725563
1944821026	XP_038052960	ECB-GENE-25452963	LOC119725563
1944821054	XP_038052983	ECB-GENE-25453017	LOC119725588
1944821069	XP_038053028	ECB-GENE-25453066	LOC119725618
1944821072	XP_038053038	ECB-GENE-25453071	LOC119725627
1944821101	XP_038053114	ECB-GENE-25453105	LOC119725672
1944821106	XP_038053124	ECB-GENE-25453105	LOC119725672
1944821136	XP_038053205	ECB-GENE-25453195	LOC119725727
1944821162	XP_038053250	ECB-GENE-25453210	LOC119725759
1944821165	XP_038053259	ECB-GENE-25453210	LOC119725759
1944821168	XP_038053271	ECB-GENE-25453227	LOC119725771
1944821171	XP_038053279	ECB-GENE-25453227	LOC119725771
1944821184	XP_038053288	ECB-GENE-25453227	LOC119725771
1944821321	XP_038053636	ECB-GENE-25453454	LOC119726091
1944821325	XP_038053643	ECB-GENE-25453454	LOC119726091
1944821328	XP_038053649	ECB-GENE-25453454	LOC119726091
1944821340	XP_038053683	ECB-GENE-25453488	LOC119726138
1944821343	XP_038053689	ECB-GENE-25453488	LOC119726138
1944821373	XP_038053770	ECB-GENE-25453562	LOC119726226
1944821381	XP_038053795	ECB-GENE-25453620	LOC119726241
1944821390	XP_038053818	ECB-GENE-25453653	LOC119726258
1944821393	XP_038053829	ECB-GENE-25453684	LOC119726269
1944821396	XP_038053838	ECB-GENE-25453684	LOC119726269
1944821399	XP_038053851	ECB-GENE-25453731	LOC119726279
1944821402	XP_038053860	ECB-GENE-25453731	LOC119726279
1944821405	XP_038053864	ECB-GENE-25453731	LOC119726279
1944821408	XP_038053869	ECB-GENE-25453731	LOC119726279
1944821414	XP_038053877	ECB-GENE-25453731	LOC119726279
1944821417	XP_038053887	ECB-GENE-25453731	LOC119726279
1944821420	XP_038053895	ECB-GENE-25453731	LOC119726279
1944821423	XP_038053901	ECB-GENE-25453731	LOC119726279
1944821435	XP_038053939	ECB-GENE-25453828	LOC119726352
1944821438	XP_038053947	ECB-GENE-25453828	LOC119726352
1944821442	XP_038053950	ECB-GENE-25453828	LOC119726352
1944821445	XP_038053958	ECB-GENE-25453828	LOC119726352
1944821461	XP_038054021	ECB-GENE-25453849	LOC119726437
1944821463	XP_038054030	ECB-GENE-25453849	LOC119726437
1944821465	XP_038054039	ECB-GENE-25453849	LOC119726437
1944821467	XP_038054049	ECB-GENE-25453849	LOC119726437
1944821517	XP_038054169	ECB-GENE-25454009	LOC119726514
1944821524	XP_038054179	ECB-GENE-25454028	LOC119726522
1944821527	XP_038054190	ECB-GENE-25454033	LOC119726530
1944821542	XP_038054235	ECB-GENE-25454074	LOC119726566
1944821545	XP_038054244	ECB-GENE-25454099	LOC119726577
1944821589	XP_038054340	ECB-GENE-25454212	LOC119726647
1944821608	XP_038054349	ECB-GENE-25454212	LOC119726647
1944821627	XP_038054357	ECB-GENE-25454212	LOC119726647
1944821647	XP_038054366	ECB-GENE-25454212	LOC119726647
1944821671	XP_038054374	ECB-GENE-25454212	LOC119726647
1944821700	XP_038054383	ECB-GENE-25454212	LOC119726647
1944821730	XP_038054391	ECB-GENE-25454212	LOC119726647
1944821757	XP_038054400	ECB-GENE-25454212	LOC119726647
1944821782	XP_038054409	ECB-GENE-25454212	LOC119726647
1944821787	XP_038054417	ECB-GENE-25454212	LOC119726647
1944821792	XP_038054425	ECB-GENE-25454212	LOC119726647
1944821811	XP_038054433	ECB-GENE-25454212	LOC119726647
1944821827	XP_038054440	ECB-GENE-25454212	LOC119726647
1944821852	XP_038054452	ECB-GENE-25454468	LOC119726713
1944821858	XP_038054460	ECB-GENE-25454468	LOC119726713
1944821863	XP_038054470	ECB-GENE-25454468	LOC119726713
1944821867	XP_038054478	ECB-GENE-25454468	LOC119726713
1944821871	XP_038054492	ECB-GENE-25454501	LOC119726733
1944821876	XP_038054500	ECB-GENE-25454501	LOC119726733
1944821881	XP_038054512	ECB-GENE-25454547	LOC119726747
1944821923	XP_038054610	ECB-GENE-25454638	LOC119726821
1944821927	XP_038054615	ECB-GENE-25454638	LOC119726821
1944821970	XP_038054696	ECB-GENE-25454668	LOC119726914
1944821978	XP_038054703	ECB-GENE-25454668	LOC119726914
1944822006	XP_038054756	ECB-GENE-25454700	LOC119726972
1944822036	XP_038054834	ECB-GENE-25454838	LOC119727022
1944822040	XP_038054844	ECB-GENE-25454838	LOC119727022
1944822045	XP_038054851	ECB-GENE-25454838	LOC119727022
1944822050	XP_038054859	ECB-GENE-25454838	LOC119727022
1944822056	XP_038054866	ECB-GENE-25454838	LOC119727022
1944822061	XP_038054869	ECB-GENE-25454838	LOC119727022
1944822066	XP_038054870	ECB-GENE-25454906	LOC119727065
1944822133	XP_038055000	ECB-GENE-25454964	LOC119727207
1944822160	XP_038055008	ECB-GENE-25454964	LOC119727207
1944822175	XP_038055015	ECB-GENE-25454964	LOC119727207
1944822196	XP_038055023	ECB-GENE-25454964	LOC119727207
1944822210	XP_038055028	ECB-GENE-25454964	LOC119727207
1944822329	XP_038055094	ECB-GENE-25455015	LOC119727309
1944822354	XP_038055098	ECB-GENE-25455015	LOC119727309
1944822379	XP_038055105	ECB-GENE-25455034	LOC119727319
1944822397	XP_038055112	ECB-GENE-25455034	LOC119727319
1944822414	XP_038055118	ECB-GENE-25455034	LOC119727319
1944822428	XP_038055124	ECB-GENE-25455034	LOC119727319
1944822431	XP_038055130	ECB-GENE-25455034	LOC119727319
1944822572	XP_038055202	ECB-GENE-25455130	LOC119727405
1944822588	XP_038055208	ECB-GENE-25455130	LOC119727405
1944822607	XP_038055220	ECB-GENE-25455160	LOC119727421
1944822768	XP_038055370	ECB-GENE-25455419	LOC119727532
1944822792	XP_038055378	ECB-GENE-25455419	LOC119727532
1944822827	XP_038055386	ECB-GENE-25455419	LOC119727532
1944822859	XP_038055395	ECB-GENE-25455419	LOC119727532
1944822891	XP_038055423	ECB-GENE-25455551	LOC119727565
1944822896	XP_038055432	ECB-GENE-25455551	LOC119727565
1944822901	XP_038055440	ECB-GENE-25455551	LOC119727565
1944822958	XP_038055478	ECB-GENE-25455635	LOC119727597
1944822982	XP_038055486	ECB-GENE-25455635	LOC119727597
1944823005	XP_038055522	ECB-GENE-25455755	LOC119727628
1944823033	XP_038055548	ECB-GENE-25455785	LOC119727640
1944823036	XP_038055561	ECB-GENE-25455805	LOC119727645
1944823039	XP_038055569	ECB-GENE-25455805	LOC119727645
1944823042	XP_038055577	ECB-GENE-25455805	LOC119727645
1944823046	XP_038055590	ECB-GENE-25455861	LOC119727665
1944823053	XP_038055609	ECB-GENE-25455882	LOC119727679
1944823062	XP_038055642	ECB-GENE-25455944	LOC119727697
1944823065	XP_038055650	ECB-GENE-25455944	LOC119727697
1944823069	XP_038055660	ECB-GENE-25455985	LOC119727712
1944823077	XP_038055687	ECB-GENE-25456051	LOC119727726
1944823080	XP_038055694	ECB-GENE-25456051	LOC119727726
1944823083	XP_038055703	ECB-GENE-25456051	LOC119727726
1944823086	XP_038055711	ECB-GENE-25456051	LOC119727726
1944823089	XP_038055720	ECB-GENE-25456051	LOC119727726
1944823430	XP_038056055	ECB-GENE-25456270	LOC119728046
1944823448	XP_038056099	ECB-GENE-25456275	LOC119728095
1944823452	XP_038056110	ECB-GENE-25456280	LOC119728106
1944823460	XP_038056133	ECB-GENE-25456304	LOC119728126
1944823492	XP_038056217	ECB-GENE-25456393	LOC119728182
1944823508	XP_038056256	ECB-GENE-25456440	LOC119728197
