gene	protein id
Rpt3	FBpp0312031
Rpt1	FBpp0088021
Rpn7	FBpp0083687
Rpn6	FBpp0086603
Rpn6	FBpp0086604
Rpn6	FBpp0297513
Rpn5	FBpp0078278
Rpn9	FBpp0083860
Rpn9	FBpp0083861
Rpn2	FBpp0084754
Rpn2	FBpp0303405
Rpn2	FBpp0306599
Rpn12	FBpp0075068
Rpn11	FBpp0078664
Rpn1	FBpp0074662
RpL15	FBpp0112465
RpL15	FBpp0112466
RpL15	FBpp0112467
RpL15	FBpp0291015
RpL15	FBpp0300652
RpL15	FBpp0300653
RpL15	FBpp0300654
RpL15	FBpp0300655
Rh50	FBpp0073210
Rh50	FBpp0303840
Rh50	FBpp0311666
Rh50	FBpp0428106
RfC38	FBpp0079812
RfC38	FBpp0311114
Nhe3	FBpp0271755
Nhe3	FBpp0271756
Nhe3	FBpp0271758
Nhe3	FBpp0289556
Nhe3	FBpp0305539
Nhe3	FBpp0305540
Nckx30C	FBpp0079516
Nckx30C	FBpp0079518
Nckx30C	FBpp0292911
Nckx30C	FBpp0292912
Nckx30C	FBpp0307474
Mt2	FBpp0110211
Mt2	FBpp0309545
Mst85C	FBpp0081449
Mst85C	FBpp0307733
Lnk	FBpp0084309
Lnk	FBpp0084310
Lnk	FBpp0084311
Lnk	FBpp0308304
Lnk	FBpp0308305
Lnk	FBpp0308306
Fmr1	FBpp0081674
Fmr1	FBpp0081675
Fmr1	FBpp0081676
Fmr1	FBpp0081677
Fmr1	FBpp0081678
Fmr1	FBpp0290600
Fmr1	FBpp0300445
Fmr1	FBpp0307052
Fmr1	FBpp0307053
Fmr1	FBpp0312465
Fmr1	FBpp0312466
eEF1beta	FBpp0305165
eEF1beta	FBpp0311691
ETH	FBpp0072331
CG6362	FBpp0088524
fab1	FBpp0088952
fab1	FBpp0088523
Dhit	FBpp0290365
Dhit	FBpp0309243
CG5033	FBpp0088519
CG18508	FBpp0070518
CG18508	FBpp0311752
Doc1	FBpp0076249
Doc1	FBpp0303938
Cmpk	FBpp0084349
CSN7	FBpp0087821
CSN6	FBpp0083658
CSN1a	FBpp0080233
jhamt	FBpp0099678
jhamt	FBpp0309208
CG15283	FBpp0290061
CG9014	FBpp0080156
CG9014	FBpp0310256
Gpo3	FBpp0294018
Gpo3	FBpp0301956
CG15260	FBpp0290070
CG15262	FBpp0080292
CG15263	FBpp0080288
CG15282	FBpp0080224
CG15282	FBpp0292072
CG15282	FBpp0310286
CG18063	FBpp0289341
CG18063	FBpp0289342
CG18063	FBpp0289841
CG12448	FBpp0289840
CG10839	FBpp0080358
CG10839	FBpp0294014
CG10839	FBpp0310297
dao	FBpp0080267
dao	FBpp0307813
dao	FBpp0307814
stol	FBpp0311102
stol	FBpp0311103
stol	FBpp0311104
stol	FBpp0311105
stol	FBpp0311106
stol	FBpp0311107
stol	FBpp0311108
stol	FBpp0311109
CG18477	FBpp0080315
CG18420	FBpp0080249
CR15280	
CG4701	FBpp0080234
CG4691	FBpp0080232
Cpr35B	FBpp0080206
CG18095	FBpp0080180
CG18095	FBpp0292334
CG18095	FBpp0310279
nAChRalpha5	FBpp0089367
nAChRalpha5	FBpp0289821
nAChRalpha5	FBpp0301601
nAChRalpha5	FBpp0423154
CG15269	FBpp0080264
wwk	FBpp0080263
wwk	FBpp0089099
wwk	FBpp0298821
wwk	FBpp0304489
wwk	FBpp0311119
wwk	FBpp0311120
CG15256	FBpp0290071
CG15256	FBpp0296941
tRNA:Pro-AGG-1-1	
CG4892	FBpp0428203
CG15279	FBpp0080247
CG15279	FBpp0080248
CG15279	FBpp0290069
CG3491	FBpp0080237
CG4168	FBpp0294010
CG4168	FBpp0309808
tRNA:Leu-TAA-3-1	
CG4161	FBpp0080294
CG4161	FBpp0312174
CG31819	FBpp0080379
GMF	FBpp0080408
CG17328	FBpp0080387
CG17328	FBpp0308002
CG17329	FBpp0080385
CG4935	FBpp0080383
CG31817	FBpp0300163
CG18518	FBpp0080372
t-Grip91	FBpp0080344
Tektin-A	FBpp0080346
Tektin-A	FBpp0303715
CG13243	FBpp0080345
CG13243	FBpp0303714
tRNA:Gln-CTG-4-1	
tRNA:Pro-AGG-1-4	
tRNA:Pro-AGG-1-3	
tRNA:Pro-AGG-1-2	
CG3473	FBpp0080227
CG3473	FBpp0310283
CG33090	FBpp0080197
CG33090	FBpp0310264
CG33090	FBpp0310265
CG33090	FBpp0310266
CG16865	FBpp0080117
CG16865	FBpp0304016
CG8997	FBpp0080140
CG8997	FBpp0310262
NC2beta	FBpp0080256
CG16863	FBpp0080113
CG16863	FBpp0110242
CG16890	FBpp0080152
CG16890	FBpp0302874
CG16890	FBpp0310253
CG7653	FBpp0423085
NimB5	FBpp0080163
NimB5	FBpp0291663
NimB5	FBpp0310236
Vajk1	FBpp0080137
Vajk1	FBpp0292115
NimC2	FBpp0080165
NimC2	FBpp0080166
NimC2	FBpp0310277
Cyp28a5	FBpp0080164
CG16853	FBpp0080086
CG16853	FBpp0304784
CG16852	FBpp0080085
CG15638	FBpp0080094
Semp1	FBpp0080342
CG7631	FBpp0080313
Or35a	FBpp0080339
CG11865	FBpp0080312
CG15253	FBpp0080340
CG15254	FBpp0080341
CG15254	FBpp0310293
CG15255	FBpp0080343
CG15255	FBpp0310294
Kebab	FBpp0077498
Kebab	FBpp0302684
CG14478	FBpp0086077
CG14478	FBpp0086078
CG14478	FBpp0311544
CG14478	FBpp0311545
CG8788	FBpp0087662
CG8788	FBpp0312211
mthl3	FBpp0086111
mthl3	FBpp0309186
mthl3	FBpp0309187
AlaRS-m	FBpp0076871
Or49b	FBpp0086894
CG9933	FBpp0080008
gammaCOP	FBpp0085154
gammaCOP	FBpp0085155
gammaCOP	FBpp0290505
gammaCOP	FBpp0303129
deltaCOP	FBpp0070355
deltaCOP	FBpp0291138
RabGGTb	FBpp0077316
trbl	FBpp0077893
tio	FBpp0088404
tio	FBpp0307374
tant	FBpp0076751
tant	FBpp0305582
tRNA:Ser-CGA-1-4	
Spt6	FBpp0070861
Spt6	FBpp0309041
Spn55B	FBpp0085912
Spn88Ea	FBpp0082595
Spn88Ea	FBpp0082596
Spn38F	FBpp0080979
Spn38F	FBpp0308646
Spn28F	FBpp0079243
Spn42Dd	FBpp0289586
Spn27A	FBpp0078950
Spn27A	FBpp0305543
seq	FBpp0099939
seq	FBpp0310607
sds22	FBpp0082877
onecut	FBpp0088173
onecut	FBpp0302730
nmdyn-D7	FBpp0081561
nerfin-1	FBpp0072489
miple2	FBpp0072406
miple2	FBpp0305059
miple2	FBpp0305060
miple2	FBpp0305061
miple2	FBpp0305062
mab-21	FBpp0070855
Smurf	FBpp0086011
Smurf	FBpp0305371
Dd	FBpp0076921
Dd	FBpp0308686
Dd	FBpp0308687
icln	FBpp0086010
gom	FBpp0071680
disp	FBpp0078314
Chs2	FBpp0300424
Chs2	FBpp0306214
ced-6	FBpp0087631
ced-6	FBpp0087632
ced-6	FBpp0087633
ced-6	FBpp0297720
ced-6	FBpp0308475
cathD	FBpp0087972
cathD	FBpp0402839
cathD	FBpp0402840
asf1	FBpp0074715
asf1	FBpp0291576
aru	FBpp0077695
aru	FBpp0077696
aru	FBpp0077697
alpha-Catr	FBpp0072057
alpha-Catr	FBpp0303286
Uba2	FBpp0076457
Tollo	FBpp0075360
Surf1	FBpp0076607
ScsbetaG	FBpp0076840
ScsbetaG	FBpp0311088
Sras	FBpp0076791
SoxN	FBpp0079335
SoxN	FBpp0303243
Debcl	FBpp0085443
REG	FBpp0073561
REG	FBpp0302766
Prosbeta5	FBpp0087319
Prosbeta5	FBpp0087320
Patsas	FBpp0079944
Patsas	FBpp0423165
Patsas	FBpp0423166
NtR	FBpp0071676
NtR	FBpp0300669
NHP2	FBpp0075448
NHP2	FBpp0305289
Mkrn1	FBpp0078038
Mkrn1	FBpp0078039
Mkrn1	FBpp0293874
Menl-2	FBpp0100058
Menl-2	FBpp0291081
Menl-2	FBpp0291082
Menl-1	FBpp0291083
Men-b	FBpp0084480
Men-b	FBpp0290921
Men-b	FBpp0290922
ssh	FBpp0084174
ssh	FBpp0084175
ssh	FBpp0290827
ssh	FBpp0290828
Las	FBpp0288705
slmo	FBpp0078848
slmo	FBpp0078849
slmo	FBpp0111858
slmo	FBpp0289088
slmo	FBpp0309829
Hml	FBpp0075495
Hml	FBpp0305234
TwdlT	FBpp0084471
Fad2	FBpp0075926
Fkbp59	FBpp0079468
Fkbp59	FBpp0309663
sotv	FBpp0099953
eEF1gamma	FBpp0084761
eEF1gamma	FBpp0084762
eEF1gamma	FBpp0291632
Crtp	FBpp0072206
Coq7	FBpp0070924
mora	FBpp0083939
CHES-1-like	FBpp0071036
CHES-1-like	FBpp0111859
CHES-1-like	FBpp0301970
CHES-1-like	FBpp0305405
Tsp42Ee	FBpp0085512
Tsp42Ee	FBpp0307820
Tsp42Ed	FBpp0085513
Tsp42Ed	FBpp0311637
Tsp42Ea	FBpp0085503
Tsp42Ea	FBpp0085504
Tsp42Ea	FBpp0085505
Aos1	FBpp0082065
CG9166	FBpp0072573
CG9166	FBpp0301845
CG13376	FBpp0300527
CG13376	FBpp0305204
CG13376	FBpp0305205
Or1a	FBpp0070069
CG13373	FBpp0070075
CG13373	FBpp0111860
CR18275	
CG3176	FBpp0070077
CG3176	FBpp0307857
CG3176	FBpp0307858
CG3176	FBpp0310106
CG18273	FBpp0070089
CR18166	
CR18166	
CR18166	
CG13365	FBpp0070155
CG13362	FBpp0070145
CG13361	FBpp0070144
CG14635	FBpp0070137
CG11663	FBpp0070159
CG11663	FBpp0301850
CG14631	FBpp0070167
CG11381	FBpp0070196
CG14770	FBpp0070206
CG14778	FBpp0070244
CG14797	FBpp0271908
CG14797	FBpp0300639
CR14798	
CG14810	FBpp0070358
CG14810	FBpp0301698
CG14811	FBpp0301697
Coa8	FBpp0070300
Coa8	FBpp0303802
CG14054	FBpp0070324
CG14053	FBpp0070408
CG14053	FBpp0303801
CG14052	FBpp0304654
CG3091	FBpp0070400
CG3091	FBpp0309619
eIF3g1	FBpp0070430
CG14419	FBpp0070539
CG3592	FBpp0070526
CG14420	FBpp0070528
CG14421	FBpp0070529
CG14422	FBpp0070530
CG14423	FBpp0070531
CG17959	FBpp0070532
CG3603	FBpp0070533
CG3603	FBpp0304769
CG4116	FBpp0070536
CG4116	FBpp0304770
CG12535	FBpp0070509
CG12535	FBpp0304581
CG12535	FBpp0304582
CG12535	FBpp0304583
CG12535	FBpp0310505
CG14269	FBpp0070508
CG14269	FBpp0304584
CG16782	FBpp0070507
CG10801	FBpp0070502
CG10801	FBpp0303996
CG16781	FBpp0070506
CG16781	FBpp0302614
CG12206	FBpp0070503
CG12206	FBpp0070504
CG12206	FBpp0070505
CG10804	FBpp0070566
CG10804	FBpp0070567
CG10804	FBpp0112979
CG10804	FBpp0310504
CG10802	FBpp0070543
CG10802	FBpp0303999
CG14270	FBpp0070565
CG10803	FBpp0070544
CG10803	FBpp0304000
CG10803	FBpp0304001
CG10803	FBpp0304002
CG10803	FBpp0304564
Gas8	FBpp0070564
Gas8	FBpp0310144
Gas8	FBpp0311223
CG13021	FBpp0070545
CG13021	FBpp0070546
CG2875	FBpp0070561
CG2875	FBpp0070562
CG2875	FBpp0305927
HIP-R	FBpp0070573
HIP-R	FBpp0070572
HIP-R	FBpp0305905
CG2901	FBpp0070578
CG15239	FBpp0070585
CG2938	FBpp0070597
CG2938	FBpp0304661
CG2938	FBpp0311756
Glos	FBpp0070586
Glos	FBpp0311755
Vap33	FBpp0070589
Vap33	FBpp0089169
Vap33	FBpp0089170
Vap33	FBpp0309607
lva	FBpp0070596
lva	FBpp0309608
CG6428	FBpp0070595
CG6414	FBpp0070594
CG6414	FBpp0401489
Cmtr1	FBpp0070639
Cmtr1	FBpp0309962
CG15375	FBpp0312488
CG15571	FBpp0070632
CG15570	FBpp0070613
CG15576	FBpp0070629
CG12691	FBpp0070614
CG15572	FBpp0070615
CG12692	FBpp0070626
CG12692	FBpp0311749
CG12693	FBpp0070622
Pdpr	FBpp0070620
CG3556	FBpp0070642
CG3556	FBpp0301042
CHOp24	FBpp0070643
CHOp24	FBpp0310166
CG3568	FBpp0070644
Usf	FBpp0070669
Usf	FBpp0301043
CG15912	FBpp0070645
CG11436	FBpp0070667
CG3527	FBpp0070646
CG11444	FBpp0070666
CG11444	FBpp0310167
CG3546	FBpp0070647
CG12684	FBpp0070665
mRpL30	FBpp0070650
CG15473	FBpp0070657
CG3009	FBpp0070656
CG3009	FBpp0289695
CG3009	FBpp0304595
CG7024	FBpp0070680
Proc-R	FBpp0070682
Proc-R	FBpp0070681
Proc-R	FBpp0100003
Proc-R	FBpp0100007
Proc-R	FBpp0311480
CG15472	FBpp0070704
CG2871	FBpp0070702
CG15471	FBpp0288876
CG15471	FBpp0288877
CG6978	FBpp0070683
CG2861	FBpp0070699
CG2861	FBpp0304591
CG2861	FBpp0304592
CG2861	FBpp0428404
CG2861	FBpp0428405
CG2861	FBpp0428406
CG12682	FBpp0070684
boil	FBpp0070685
CG6927	FBpp0070689
CG4041	FBpp0290220
Hgsnat	FBpp0070691
Hgsnat	FBpp0310139
CG12680	FBpp0289295
CG12680	FBpp0310134
Rpn13R	FBpp0070709
CG15465	FBpp0070710
CG15465	FBpp0311010
CG5062	FBpp0070726
CG3323	FBpp0070725
CG17764	FBpp0070724
TrxT	FBpp0070722
TrxT	FBpp0309419
CG4198	FBpp0070718
CG4198	FBpp0309416
CG15930	FBpp0291095
Sas10	FBpp0070719
CG3309	FBpp0070764
CG3309	FBpp0311143
SK	FBpp0289694
SK	FBpp0291161
SK	FBpp0291162
SK	FBpp0291163
SK	FBpp0291164
SK	FBpp0291165
SK	FBpp0291166
SK	FBpp0303992
SK	FBpp0303993
SK	FBpp0303994
SK	FBpp0310908
SK	FBpp0310909
SK	FBpp0310910
SK	FBpp0310911
NAAT1	FBpp0070763
Usp16-45	FBpp0070738
Usp16-45	FBpp0070739
Usp16-45	FBpp0070741
Usp16-45	FBpp0309403
Usp16-45	FBpp0309404
CG16756	FBpp0070742
CG15784	FBpp0070743
CG15784	FBpp0309402
SPR	FBpp0070744
SPR	FBpp0308828
SPR	FBpp0311140
SPR	FBpp0428130
frma	FBpp0312021
frma	FBpp0312022
CG4151	FBpp0070745
CG4151	FBpp0311777
CG12730	FBpp0070746
CG12730	FBpp0311776
RhoGAP5A	FBpp0070750
RhoGAP5A	FBpp0070751
Sirt4	FBpp0070815
Sirt4	FBpp0070816
Sirt4	FBpp0070817
RpL35	FBpp0070766
RpL35	FBpp0070767
RpL35	FBpp0311779
PGAP1	FBpp0070812
AdamTS-B	FBpp0290305
AdamTS-B	FBpp0290306
CG15773	FBpp0070772
CG15773	FBpp0300796
Rtel1	FBpp0070773
Rtel1	FBpp0304672
CG15772	FBpp0070774
CG15772	FBpp0308791
lin-52	FBpp0070805
lin-52	FBpp0308792
CG15771	FBpp0070775
CG15771	FBpp0292382
CG15771	FBpp0311780
CG3097	FBpp0070801
CG3108	FBpp0070798
CG15767	FBpp0070779
CG12239	FBpp0070780
Cpr5C	FBpp0070781
Prosbeta2R1	FBpp0070782
AgmNAT	FBpp0070797
CG15765	FBpp0070783
CG15765	FBpp0305154
CG12729	FBpp0070784
CG15764	FBpp0070785
CG15764	FBpp0310140
GAA1	FBpp0070795
Usp30	FBpp0070793
Usp30	FBpp0310141
CG16721	FBpp0070786
CG16721	FBpp0308971
CG16721	FBpp0311473
CG4020	FBpp0070789
CG4020	FBpp0305934
CG12236	FBpp0070790
CG12236	FBpp0070791
Shmt	FBpp0070792
Shmt	FBpp0288674
Shmt	FBpp0311477
CG3726	FBpp0070823
CG3726	FBpp0309797
CG12728	FBpp0070824
CG12728	FBpp0309798
CG6041	FBpp0070826
CG6048	FBpp0070828
CG6067	FBpp0070829
Grip	FBpp0070830
Grip	FBpp0310059
Grip	FBpp0310060
CG5966	FBpp0070831
CG5966	FBpp0309959
MCTS1	FBpp0070832
MCTS1	FBpp0293887
CG5937	FBpp0293888
CG5937	FBpp0293889
CG5921	FBpp0293885
CG5921	FBpp0293886
CG5921	FBpp0307915
CG5928	FBpp0070836
CG5928	FBpp0099690
CG5928	FBpp0300510
Tsp5D	FBpp0070853
Tsp5D	FBpp0112958
Tsp5D	FBpp0303596
CG4666	FBpp0070852
CG4666	FBpp0311824
CG4660	FBpp0070851
raptor	FBpp0305180
raptor	FBpp0311819
Nep1	FBpp0070837
Nep1	FBpp0070838
Nep1	FBpp0309046
Nep1	FBpp0310420
Btnd	FBpp0070843
Efr	FBpp0070839
Efr	FBpp0070840
CG14445	FBpp0070858
CG14445	FBpp0111867
CG14445	FBpp0308579
CG14445	FBpp0308580
Josd	FBpp0070860
CG3566	FBpp0088808
CG3566	FBpp0088809
CG3566	FBpp0293707
CG11700	FBpp0305700
wuho	FBpp0070862
mldr	FBpp0070863
mldr	FBpp0293947
CG15892	FBpp0070887
CG15891	FBpp0099724
CG15891	FBpp0312222
CG3815	FBpp0070864
CG3823	FBpp0070865
CG15894	FBpp0070866
CG15894	FBpp0111868
CG15894	FBpp0308817
CG15894	FBpp0308818
CG3842	FBpp0070868
CG3842	FBpp0070869
CG3842	FBpp0303811
CG3842	FBpp0303812
CG3847	FBpp0070870
ND-B16.6	FBpp0070885
ND-B16.6	FBpp0309040
ND-B16.6	FBpp0312526
Marf	FBpp0089222
Marf	FBpp0089221
Marf	FBpp0310030
CG3918	FBpp0070874
CG3342	FBpp0070880
CG17717	FBpp0070904
CG17717	FBpp0070905
Pat1	FBpp0070906
Pat1	FBpp0303989
Pat1	FBpp0303990
APC7	FBpp0070907
APC7	FBpp0070908
CG14443	FBpp0300877
pigs	FBpp0070909
pigs	FBpp0300876
pigs	FBpp0310031
CG3226	FBpp0070953
CG3224	FBpp0070952
CG3198	FBpp0070951
ND-ASHI	FBpp0070950
ND-ASHI	FBpp0099823
ND-ASHI	FBpp0309988
Fum2	FBpp0070916
Pink1	FBpp0070918
Pink1	FBpp0070917
Pink1	FBpp0099830
Pink1	FBpp0099831
Pink1	FBpp0099832
Pink1	FBpp0099833
Pink1	FBpp0099835
Pink1	FBpp0099837
Pink1	FBpp0311462
CG3184	FBpp0070949
CG14442	FBpp0070948
CG14442	FBpp0289996
CG14442	FBpp0308575
CG14442	FBpp0308576
CG14442	FBpp0308577
CG14440	FBpp0070947
CG14440	FBpp0302567
CG14441	FBpp0070920
CG14441	FBpp0305113
CG14441	FBpp0305114
CG14441	FBpp0305115
CG3168	FBpp0070944
CG3168	FBpp0070945
CG3168	FBpp0070946
CG3168	FBpp0309231
CG3168	FBpp0309232
CG3168	FBpp0309233
CG3168	FBpp0309234
RpL17	FBpp0070940
RpL17	FBpp0070941
RpL17	FBpp0070942
RpL17	FBpp0070943
RpL17	FBpp0311459
CG14439	FBpp0070921
CG14439	FBpp0291552
CG14439	FBpp0291553
pod1	FBpp0070925
pod1	FBpp0070926
pod1	FBpp0070927
pod1	FBpp0070928
pod1	FBpp0070929
pod1	FBpp0111869
pod1	FBpp0300548
Nf-YC	FBpp0070935
xit	FBpp0070931
Atx-1	FBpp0289092
mAChR-C	FBpp0070934
detr	FBpp0071001
detr	FBpp0309981
Tmf	FBpp0070954
Cht11	FBpp0071000
CG4558	FBpp0070955
CG4558	FBpp0289414
CG14434	FBpp0070999
CG14434	FBpp0309980
CG14434	FBpp0311823
CR4575	
CG14431	FBpp0293053
CG14431	FBpp0311827
CG14431	FBpp0428083
CG4586	FBpp0070963
CG3040	FBpp0070997
CG3032	FBpp0070991
CG3032	FBpp0311828
CG4593	FBpp0070969
CG4593	FBpp0309989
CG12541	FBpp0289984
CG12541	FBpp0309982
CG14427	FBpp0070970
CG4607	FBpp0070973
CG4607	FBpp0070974
CG4615	FBpp0070979
CG4617	FBpp0070978
CG4617	FBpp0303740
CG8300	FBpp0070975
Cph	FBpp0290458
Cph	FBpp0301059
Cph	FBpp0308848
Cph	FBpp0423187
Cph	FBpp0423188
CG1958	FBpp0071005
CG1677	FBpp0088653
CG1677	FBpp0292476
CG1677	FBpp0308852
CG1677	FBpp0308853
CG2059	FBpp0071006
CG2059	FBpp0292475
Atg5	FBpp0071023
Dok	FBpp0071008
Acsf3	FBpp0071010
CG15034	FBpp0071022
CG15034	FBpp0308849
CG1999	FBpp0071012
CheA7a	FBpp0071013
CG15035	FBpp0071021
rumpel	FBpp0071015
rumpel	FBpp0311830
CG11369	FBpp0071025
CG12689	FBpp0071037
CG15478	FBpp0071035
CG15478	FBpp0290060
CG12155	FBpp0071029
Pdp	FBpp0071033
Pdp	FBpp0298274
Rab39	FBpp0071030
Rab39	FBpp0298273
Ir7a	FBpp0071032
CARPA	FBpp0289296
CARPA	FBpp0310005
CG10920	FBpp0071101
CG1409	FBpp0271880
Ir7b	FBpp0307900
Ir7c	FBpp0071043
Ir7c	FBpp0301563
Ir7g	FBpp0428088
Acat1	FBpp0071095
Acat1	FBpp0311869
Nek2	FBpp0071094
ND-MNLL	FBpp0071092
ND-MNLL	FBpp0071093
ND-MNLL	FBpp0290121
ND-MNLL	FBpp0290122
ND-MNLL	FBpp0309149
dpr14	FBpp0071086
dpr14	FBpp0298271
spidey	FBpp0071047
snz	FBpp0071048
snz	FBpp0309134
hdm	FBpp0071085
mahe	FBpp0071084
mahe	FBpp0310551
Dhdds	FBpp0071083
Dhdds	FBpp0303850
CG15332	FBpp0071079
CG15330	FBpp0071055
CG15333	FBpp0071076
CG2233	FBpp0071075
Upf2	FBpp0071072
CG1571	FBpp0071062
Ldsdh1	FBpp0071071
CG2256	FBpp0290950
UbcE2H	FBpp0071067
UbcE2H	FBpp0071068
UbcE2H	FBpp0071069
CG2258	FBpp0071064
CG2258	FBpp0071065
CG2258	FBpp0071066
CG2258	FBpp0309126
CG1575	FBpp0071102
CG1575	FBpp0308752
CG2260	FBpp0071142
cyr	FBpp0071141
cyr	FBpp0309146
cyr	FBpp0309147
CG2116	FBpp0071103
CG10958	FBpp0071104
CG2120	FBpp0290136
CG17982	FBpp0071139
CG17982	FBpp0311875
alpha-PheRS	FBpp0071138
CG2129	FBpp0071106
CG15336	FBpp0304003
CG10959	FBpp0071108
CG10959	FBpp0304004
Gbeta5	FBpp0071137
CG18262	FBpp0071109
GIIIspla2	FBpp0292509
GIIIspla2	FBpp0311874
CG15337	FBpp0071111
CG10761	FBpp0071135
Or7a	FBpp0071134
CG2278	FBpp0071133
CG2278	FBpp0303732
CG2278	FBpp0309129
slpr	FBpp0099601
slpr	FBpp0292850
slpr	FBpp0292851
slpr	FBpp0292852
CG2147	FBpp0071114
sni	FBpp0071131
sni	FBpp0311239
CG1632	FBpp0071118
CG1632	FBpp0298283
Corp	FBpp0071127
Corp	FBpp0298284
CG15343	FBpp0071126
CG1636	FBpp0071119
CG1636	FBpp0308865
CG1636	FBpp0308866
CG1387	FBpp0071121
CG10555	FBpp0071122
CG10555	FBpp0310010
PIG-T	FBpp0071123
Miga	FBpp0071189
Miga	FBpp0289612
Miga	FBpp0311873
CG1440	FBpp0071144
CG1440	FBpp0111874
CG1440	FBpp0111875
CG1440	FBpp0308525
CG12123	FBpp0071188
CG15347	FBpp0071185
CG15347	FBpp0291662
CG12116	FBpp0071183
CG12112	FBpp0071177
CG12112	FBpp0304116
Trf4-1	FBpp0071158
Trf4-1	FBpp0071159
Trf4-1	FBpp0111876
Trf4-1	FBpp0111877
Trf4-1	FBpp0304112
Trf4-1	FBpp0304113
Trf4-1	FBpp0304114
CG12111	FBpp0071176
CG12111	FBpp0304115
spirit	FBpp0071174
spirit	FBpp0071175
spirit	FBpp0289955
spirit	FBpp0304874
CG12065	FBpp0071160
CG12065	FBpp0071161
CG12065	FBpp0071162
CG12065	FBpp0071163
CG12065	FBpp0289974
CG12065	FBpp0289975
CG12065	FBpp0428081
CG12081	FBpp0071164
CG12081	FBpp0304872
Caf1-180	FBpp0071172
Rubicon	FBpp0071166
Rubicon	FBpp0304117
CAH3	FBpp0071167
CAH3	FBpp0304118
CAH3	FBpp0304119
CAH3	FBpp0304120
CAH3	FBpp0311871
Ppt1	FBpp0071170
Ppt1	FBpp0311872
CG11294	FBpp0071169
CG11294	FBpp0303873
CG2004	FBpp0071218
CG2004	FBpp0305173
CG2004	FBpp0305174
CG2004	FBpp0305176
CG2004	FBpp0311995
CG1785	FBpp0071193
CG1789	FBpp0071194
CG12075	FBpp0071196
CG12075	FBpp0071197
CG12075	FBpp0298272
CG12075	FBpp0307040
CG12075	FBpp0307041
Uros1	FBpp0071211
Uros1	FBpp0305783
Rbm13	FBpp0071198
Rbm13	FBpp0311991
CG12661	FBpp0071208
CG12661	FBpp0305780
CG10962	FBpp0071206
CG12662	FBpp0071207
CG12662	FBpp0423043
CG15365	FBpp0071292
CG15365	FBpp0308736
CG15365	FBpp0308737
CG10970	FBpp0071291
CG10970	FBpp0311999
CG7246	FBpp0071288
HP1b	FBpp0071221
HP1b	FBpp0291019
HP1b	FBpp0301605
CG6999	FBpp0071225
CCT2	FBpp0071226
CG7766	FBpp0071286
CG7766	FBpp0071287
CG7766	FBpp0113086
CG7766	FBpp0113087
CG7766	FBpp0301189
CG7766	FBpp0301190
CG7766	FBpp0309977
Arfrp1	FBpp0071229
AP-1gamma	FBpp0071230
AP-1gamma	FBpp0071231
AP-1gamma	FBpp0071232
AP-1gamma	FBpp0071233
AP-1gamma	FBpp0089134
AP-1gamma	FBpp0111878
AP-1gamma	FBpp0301193
AP-1gamma	FBpp0301194
AP-1gamma	FBpp0305942
fend	FBpp0071284
fend	FBpp0305496
CG7065	FBpp0071234
fh	FBpp0071283
Bap111	FBpp0071235
Zpr1	FBpp0071277
CG12115	FBpp0071276
CG12057	FBpp0071239
CG12057	FBpp0304869
CG12056	FBpp0071240
CG12106	FBpp0071241
CG12118	FBpp0071274
CG12118	FBpp0071275
SmydA-9	FBpp0071271
SmydA-9	FBpp0309430
Obp8a	FBpp0071242
CG15368	FBpp0071243
CG15369	FBpp0071244
CG15369	FBpp0311992
CG15370	FBpp0071245
Gr8a	FBpp0071246
CG12121	FBpp0071269
CG17754	FBpp0071249
CG17754	FBpp0071250
CG17754	FBpp0071251
CG17754	FBpp0309114
CG17754	FBpp0309115
CG17754	FBpp0309116
CR17438	
ric8b	
CG17440	FBpp0071263
Cfp1	FBpp0071262
Cfp1	FBpp0292089
Aladin	FBpp0071254
Aladin	FBpp0308972
RpS28b	FBpp0071295
RpS28b	FBpp0310057
CG15317	FBpp0071306
Gga	FBpp0071298
CG3106	FBpp0071338
CG3106	FBpp0311996
CG1354	FBpp0088408
CG1354	FBpp0088409
CG1354	FBpp0088410
CG1354	FBpp0088411
CG1354	FBpp0307859
CG1354	FBpp0423137
CG15247	FBpp0071332
CG1468	FBpp0071323
CG9686	FBpp0071324
CG9689	FBpp0071325
CG9689	FBpp0309523
CG9691	FBpp0071327
CG9691	FBpp0071326
CG15249	FBpp0111879
CG15249	FBpp0309784
CG1986	FBpp0071330
CG1986	FBpp0309783
CG1791	FBpp0071364
CG1791	FBpp0111881
CG1791	FBpp0307847
CG1889	FBpp0071343
CG1889	FBpp0111882
CG1889	FBpp0307845
CG1889	FBpp0307846
CG15252	FBpp0111883
CG15252	FBpp0300229
CG15312	FBpp0071356
CG15312	FBpp0071357
CG15312	FBpp0071358
CG15312	FBpp0301158
CG15312	FBpp0301159
CG15312	FBpp0301160
CG2972	FBpp0071365
CG2972	FBpp0309414
Naxe	FBpp0288673
CG12645	FBpp0111886
CG12645	FBpp0305116
Ypel	FBpp0071416
Ypel	FBpp0111887
Ypel	FBpp0305119
Ypel	FBpp0305120
Ypel	FBpp0305121
CG2962	FBpp0071415
CG2961	FBpp0071413
CG2961	FBpp0312053
CG2961	FBpp0312054
CG2909	FBpp0071376
CG15306	FBpp0071405
