gene	protein id
Cam	FBpp0293503
Cam	FBpp0311269
capu	FBpp0077200
capu	FBpp0077201
capu	FBpp0077202
capu	FBpp0288516
capu	FBpp0288517
capu	FBpp0288518
capu	FBpp0288519
capu	FBpp0288520
capu	FBpp0288521
car	FBpp0074496
car	FBpp0074497
car	FBpp0303585
CkIIbeta	FBpp0073405
CkIIbeta	FBpp0073406
CkIIbeta	FBpp0073403
CkIIbeta	FBpp0089135
CkIIbeta	FBpp0099985
CkIIbeta	FBpp0288844
CkIIbeta	FBpp0300330
CkIIbeta	FBpp0300427
CkIIbeta	FBpp0300428
CkIIbeta	FBpp0305406
Cat	FBpp0074825
Pka-C1	FBpp0079448
Pka-C1	FBpp0089382
Pka-C1	FBpp0307466
Pka-C2	FBpp0085089
Pka-C2	FBpp0307432
CecA1	FBpp0084977
CecA2	FBpp0084978
CecB	FBpp0085002
CecC	FBpp0084980
Cec-Psi1	
Cec2	
Cp190	FBpp0082580
Cp190	FBpp0082581
Cf2	FBpp0088590
Cf2	FBpp0088591
Cf2	FBpp0088592
Cf2	FBpp0293426
Cf2	FBpp0307799
Cf2	FBpp0422630
salr	FBpp0079822
salr	FBpp0079823
salr	FBpp0297936
cg	FBpp0086655
cg	FBpp0086656
cg	FBpp0086657
cg	FBpp0086658
cg	FBpp0111707
cg	FBpp0288473
cg	FBpp0288474
cg	FBpp0308982
cg	FBpp0308983
cg	FBpp0308984
cg	FBpp0312412
Col4a1	FBpp0078640
Col4a1	FBpp0078641
Col4a1	FBpp0078642
ChAT	FBpp0088977
ChAT	FBpp0088397
chif	FBpp0080396
chif	FBpp0080397
chif	FBpp0302856
chif	FBpp0423267
chic	FBpp0078864
chic	FBpp0078865
chic	FBpp0078866
chic	FBpp0089196
chic	FBpp0301151
chic	FBpp0301152
cin	FBpp0070063
cin	FBpp0070064
ck	FBpp0080282
ck	FBpp0080283
ck	FBpp0310274
ck	FBpp0310275
cl	FBpp0078728
cl	FBpp0303002
cl	FBpp0303003
Chc	FBpp0073966
Chc	FBpp0073967
Chc	FBpp0089397
Chc	FBpp0089398
Chc	FBpp0111709
Chc	FBpp0111710
Chc	FBpp0308531
eya	FBpp0078964
eya	FBpp0078963
eya	FBpp0297250
clt	FBpp0071604
cm	FBpp0070992
cm	FBpp0304594
cn	FBpp0311059
cni	FBpp0080405
cni	FBpp0080406
cni	FBpp0308005
comt	FBpp0073585
comt	FBpp0305521
cort	FBpp0078949
cort	FBpp0305542
cos	FBpp0088087
cos	FBpp0307854
Cp15	FBpp0076299
Cp16	FBpp0076301
Cp18	FBpp0076298
Cp19	FBpp0076300
Cp36	FBpp0071150
Cp38	FBpp0071151
Cp38	FBpp0289676
crc	FBpp0081041
crc	FBpp0081040
crc	FBpp0304323
crc	FBpp0304324
crm	FBpp0070472
crm	FBpp0070473
crn	FBpp0070402
csw	FBpp0070362
csw	FBpp0070363
csw	FBpp0070364
csw	FBpp0305458
cta	FBpp0110418
cta	FBpp0306274
cup	FBpp0288761
cup	FBpp0312102
cv	FBpp0070770
cv	FBpp0309406
cv	FBpp0309407
cv-2	FBpp0071536
CycA	FBpp0075807
CycA	FBpp0293192
CycB	FBpp0071822
CycB	FBpp0071824
CycB	FBpp0071825
CycB	FBpp0301592
Cyt-b5-r	FBpp0080486
Cyt-b5-r	FBpp0304264
D	FBpp0075488
D	FBpp0305248
D	FBpp0305249
D	FBpp0305250
D1	FBpp0081467
D1	FBpp0081468
D1	FBpp0290739
Dab	FBpp0075077
Dab	FBpp0293621
Dab	FBpp0293622
Dab	FBpp0293623
Dab	FBpp0303222
Dab	FBpp0303223
Dab	FBpp0305800
Dab	FBpp0305801
Sap-r	FBpp0085075
Sap-r	FBpp0085076
Ddc	FBpp0080709
Ddc	FBpp0080710
Ddc	FBpp0288730
SmF	FBpp0087118
dec	FBpp0071097
dec	FBpp0071098
dec	FBpp0071099
dec	FBpp0301548
dec	FBpp0301549
dec	FBpp0301952
Dfd	FBpp0081138
Pkg21D	FBpp0077706
Dhod	FBpp0081376
Dhod	FBpp0289671
Hr3	FBpp0087454
Hr3	FBpp0087456
Hr3	FBpp0111711
Hr3	FBpp0297438
Hr3	FBpp0303459
Hr3	FBpp0402891
dib	FBpp0073061
ect	FBpp0076034
ect	FBpp0076036
ect	FBpp0290599
ect	FBpp0303941
ect	FBpp0308931
Dip-B	FBpp0082299
Dip-B	FBpp0082300
Dip-B	FBpp0082301
Dip-B	FBpp0311421
Dip-C	FBpp0082069
Dip-C	FBpp0311237
disco	FBpp0074028
disco	FBpp0099796
Delta	FBpp0083153
Delta	FBpp0083154
Delta	FBpp0293200
Lar	FBpp0080801
Lar	FBpp0111712
Lar	FBpp0297092
Lar	FBpp0303681
Lar	FBpp0303682
Lar	FBpp0303683
Lar	FBpp0303684
DNaseII	FBpp0082962
dnc	FBpp0070485
dnc	FBpp0070487
dnc	FBpp0070488
dnc	FBpp0070489
dnc	FBpp0070491
dnc	FBpp0070493
dnc	FBpp0070494
dnc	FBpp0070495
dnc	FBpp0070496
dnc	FBpp0070497
dnc	FBpp0070498
dnc	FBpp0305504
dnc	FBpp0305505
dnc	FBpp0305506
dnc	FBpp0305507
dnc	FBpp0305508
dnc	FBpp0305509
dor	FBpp0070259
Pka-C3	FBpp0075283
Pka-C3	FBpp0075284
dpp	FBpp0077451
dpp	FBpp0077452
dpp	FBpp0077453
dpp	FBpp0077455
Dr	FBpp0084807
dsh	FBpp0073310
Dsk	FBpp0078628
dsx	FBpp0081256
dsx	FBpp0081257
dsx	FBpp0081258
dsx	FBpp0303106
dsx	FBpp0303107
dsx	FBpp0308767
dsx	FBpp0428501
dwg	FBpp0070465
dx	FBpp0070876
e	FBpp0083505
bsh	FBpp0088920
bsh	FBpp0310398
ea	FBpp0082539
ea	FBpp0306655
eag	FBpp0073772
eag	FBpp0110308
eag	FBpp0292377
eag	FBpp0292378
eag	FBpp0301717
eag	FBpp0301718
eag	FBpp0301719
eas	FBpp0073990
eas	FBpp0073991
eas	FBpp0073993
eas	FBpp0300841
eas	FBpp0300842
eas	FBpp0300843
eas	FBpp0310123
eas	FBpp0310124
E(bx)	FBpp0072421
E(bx)	FBpp0072422
E(bx)	FBpp0089425
E(bx)	FBpp0290562
E(bx)	FBpp0290563
E(bx)	FBpp0304411
E(bx)	FBpp0304412
E(bx)	FBpp0304413
E(bx)	FBpp0304414
ec	FBpp0100019
ec	FBpp0111713
ec	FBpp0111714
ecd	FBpp0072781
EcR	FBpp0085349
EcR	FBpp0085350
EcR	FBpp0085351
EcR	FBpp0085352
EcR	FBpp0085353
EcR	FBpp0291631
ed	FBpp0077154
ed	FBpp0306381
ed	FBpp0306382
Edg78E	FBpp0078062
Edg78E	FBpp0310951
Edg84A	FBpp0081186
eEF1alpha2	FBpp0085193
eEF1alpha2	FBpp0085194
eEF1alpha2	FBpp0089103
eEF1alpha2	FBpp0089104
eEF2	FBpp0085265
eEF2	FBpp0085266
eEF2	FBpp0305182
eg	FBpp0078091
eg	FBpp0078092
eg	FBpp0305033
egl	FBpp0113078
egl	FBpp0309937
Eh	FBpp0082885
Eh	FBpp0306950
MsrA	FBpp0075307
MsrA	FBpp0075308
MsrA	FBpp0075309
MsrA	FBpp0292565
MsrA	FBpp0303209
MsrA	FBpp0303210
Cth	FBpp0085889
Cth	FBpp0311547
Eip74EF	FBpp0074965
Eip74EF	FBpp0074966
Eip74EF	FBpp0074967
Eip74EF	FBpp0099825
Eip74EF	FBpp0297063
Eip75B	FBpp0074914
Eip75B	FBpp0074915
Eip75B	FBpp0074916
Eip75B	FBpp0074917
Eip75B	FBpp0297725
Eip75B	FBpp0297726
Eip75B	FBpp0312446
emc	FBpp0072477
ems	FBpp0082326
en	FBpp0087197
en	FBpp0087198
ena	FBpp0085768
ena	FBpp0085767
ena	FBpp0085766
ena	FBpp0099530
ena	FBpp0099532
ena	FBpp0113115
ena	FBpp0309392
Eno	FBpp0077571
Eno	FBpp0077572
Eno	FBpp0077573
Eno	FBpp0077574
Eno	FBpp0077575
Eno	FBpp0291325
E(Pc)	FBpp0087238
E(Pc)	FBpp0087239
E(Pc)	FBpp0303471
E(Pc)	FBpp0303472
E(Pc)	FBpp0303473
esc	FBpp0079907
E(spl)m8-HLH	FBpp0084335
Est-6	FBpp0075735
Est-6	FBpp0305575
Est-P	FBpp0075736
eve	FBpp0087478
exd	FBpp0073942
exd	FBpp0073940
exd	FBpp0305514
exd	FBpp0305515
exu	FBpp0085555
exu	FBpp0085556
exu	FBpp0085557
exu	FBpp0291491
Taf9	FBpp0074237
e(y)2	FBpp0073385
eyg	FBpp0075711
eyg	FBpp0099525
eyg	FBpp0308953
E(z)	FBpp0076008
E(z)	FBpp0271846
E(z)	FBpp0306192
tei	FBpp0086751
tei	FBpp0308965
Fas2	FBpp0070633
Fas2	FBpp0070634
Fas2	FBpp0070635
Fas2	FBpp0307830
Fas2	FBpp0307832
Fas2	FBpp0310127
Fas2	FBpp0310128
Fas3	FBpp0080604
Fas3	FBpp0080605
Fas3	FBpp0111716
Fas3	FBpp0111717
Fas3	FBpp0290605
Fas3	FBpp0309467
Fas3	FBpp0311111
Fbp1	FBpp0075491
Fbp1	FBpp0075492
Fbp1	FBpp0308598
Fbp2	FBpp0079408
Fbp2	FBpp0310073
Fbp2	FBpp0310074
Fcp3C	FBpp0070517
fj	FBpp0085933
fkh	FBpp0084690
fkh	FBpp0289487
fkh	FBpp0303365
fkh	FBpp0311419
fkh	FBpp0312360
fl(2)d	FBpp0086773
fl(2)d	FBpp0086774
fl(2)d	FBpp0293239
fl(2)d	FBpp0293240
Actn	FBpp0070329
Actn	FBpp0070330
Actn	FBpp0070331
Actn	FBpp0292167
Actn	FBpp0302777
Actn	FBpp0302778
Actn	FBpp0302779
Actn	FBpp0305935
Actn	FBpp0305936
fliI	FBpp0076893
flw	FBpp0071381
flw	FBpp0071382
flw	FBpp0305497
flw	FBpp0423145
FMRFa	FBpp0087471
fog	FBpp0077034
fog	FBpp0099983
fog	FBpp0305381
fog	FBpp0305382
fog	FBpp0305383
fog	FBpp0305384
for	FBpp0088922
for	FBpp0088354
for	FBpp0088924
for	FBpp0088923
for	FBpp0088350
for	FBpp0088352
for	FBpp0088353
for	FBpp0099769
for	FBpp0290613
for	FBpp0402801
for	FBpp0422967
for	FBpp0422968
for	FBpp0422969
FER	FBpp0081529
FER	FBpp0081530
FER	FBpp0081531
FER	FBpp0081532
FER	FBpp0305490
