,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
immune_hs25,0.000839527,0.008419409,0.000302117,0.001709631,0.005253278,0.016504921,0.159724566,0.003075565,0.026574307,0.028624217,0.003671313,0.002211051,0.00161916,0.00091709,0.000140597,0.003382295,0.000136678,0,6.06E-05,0.00230631,0.000273313,0.001860741,0.03374977,0.168853029,0.032071931,0,0.005165642
granulosa_I_hs26,6.91E-05,4.11E-05,0.004349835,0.000979992,0.001183374,0.05335805,0.026406784,0.002660344,0.048804475,0.016996679,0.003246911,0.01801759,0.000209198,0.000339968,0.001968358,0.01465126,0.011966542,0.002515537,0.005283692,0.00068345,0.02515748,0.024984637,0.010324204,0.002073085,0.001755342,0,0
endothelium_hs27,0.000314438,0.000480057,0.003821863,0.009265931,0.283118533,0.053097047,0.044612905,0.002189754,0.009215445,0.005753082,0.000742635,0.001486983,0,0,0,0.002105167,6.78E-05,0.000174799,0.001120303,0,0.003177165,0.00338467,0.006909257,0.060076548,0.002729942,0,0
granulosa_II_hs28,0.154619716,0.035648024,0.012193826,0.01329362,0.033416341,0.000470397,0.020264281,0.012910874,0.004154562,0.011569458,0.000220926,0.017944105,0.004100094,0,6.78E-05,0.00866222,0.001352108,0,0.00162656,0.005281782,0.003249299,0.00410756,0.048428899,0.034916351,0.017877306,0.001123961,0.001064906
granulosa_I_hs29,0.000421998,0.003135638,0.00013167,0.000282569,0.003577229,0.121268114,0.085773589,0.006424191,0.011101822,0.00345203,0.00067784,0.007210399,0.001857877,0.001557788,0.00018604,0.004566577,0.006855171,0.002167518,0.009010981,0.000397275,0.004368559,5.67E-05,0.005486094,0.006433345,0.004526862,0.000154728,8.62E-05
unknown_hs30,0.000540505,0.00348453,0.000289086,0.000520622,0.000306282,1.31E-05,0.050183439,0.000901798,0.025495891,0.019244031,0.0001911,0.000953332,0.079682004,0.019336124,0.000499691,0.011323296,0.039741242,0.004548846,0.009262182,0.00320385,0.005861073,0,0.053240453,0.011786419,0.001610422,5.55E-05,0
granulosa_I_hs4,0.000507986,0.001997664,0.012597195,0.02675036,0.062193649,0.10058781,0.079196473,0.017303099,0.028049854,0.025582749,0.020215715,0.073149691,0.006017955,0.011335814,0.007404829,0.046657772,0.04196781,0.020803547,0.049438706,0.027937147,0.013894984,0.00299565,0.021985805,0.024513962,0.009851552,0.002138038,0.007484364
meiotic_germ_hs31,0.003048094,0.00132948,0,0,0.000688762,0.0023435,0.005980665,0.000107761,0.021299537,0.023278247,0.009216502,0.002014818,0,0,0,0.003270876,0.056613632,0.015333036,0.320547685,0,8.14E-05,0,0.006871935,0.00900795,0.000818486,0,3.25E-05
granulosa_I_hs32,0,0,0,0,0,0,0,0,0.001141583,0.000470346,0.000278021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
granulosa_I_hs33,0,0,0,1.23E-05,0,0.044906599,0.038531673,0,0.097562172,0.042291471,0.01138537,0.021951699,0,0,0,0,0,0,0,0,0.009876163,0,0.001959454,0,0,0,0
endothelium_hs34,0,0,0.000310948,0,0.018557681,0,0.002904241,0.001662332,0.000372475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318277,0.009724808,0.00104833,0,0
stromal_and_theca_hs5,0.004748124,0.039296302,0.003930499,0.010884322,0.009382001,0.014004212,0.046562223,0.002517786,0.063054281,0.015948385,0.010792443,0.007303519,0.00291088,0,0.000218728,0.006986969,0.000980249,0.000109218,0.008690771,0.04345901,0.00450262,0.028869131,0.008728746,0.006575877,0.005190164,0.000242988,0.00295442
granulosa_II_hs6,0.24528656,0.153625197,0.13533699,0.040080608,0.071127978,0.014183143,0.013877292,0.020964993,0.002748815,0.003065961,0.002192546,0.025387501,0.042464343,0.000264302,8.60E-05,0.00057162,4.50E-05,2.63E-05,3.24E-05,0.003329783,0.001896265,0.000273516,0.059510258,0.15505658,0.072628766,0.013207863,0.031214614
granulosa_I_hs7,0,0.000399992,0.005834656,0.001712479,0.026999938,0.11919322,0.051011315,0.00453971,0.008635221,0.003545788,0.004553394,0.045133765,0.001327198,7.58E-05,0,0.001295814,0.003953571,3.04E-05,0.001994627,0.014016642,0.13469229,0.14662662,0.007282839,0.001713473,0.00344355,0.00044127,0.006293213
granulosa_I_hs8,0,0.000847729,0.010462326,0.002133697,0.002278028,0.040824085,0.034531421,0.002157154,0.045781672,0.029727797,0.029478736,0.019557453,0,0.00015335,0.000110694,0.0220938,0.021380325,0.008396722,0.066576367,0.012096872,0.001451275,0.000329521,0.066226863,0.030657275,0.013391307,0.0024231,0.062544704
stromal_and_theca_hs9,0.013927967,0.1582622,0.021628111,0.018558126,0.026553496,0.041062907,0.116456629,0.011102621,0.004835856,0.005900721,0.002547586,0.005524144,0.027103353,0.019528133,0.012983026,0.002126731,0.00322718,6.82E-05,0.002871327,0.008246391,0.002901061,0.001379296,0.009238159,0.009991234,0.006266814,0.00976498,0.005996083
stromal_and_theca_hs10,0.060672364,0.267058925,0.016518579,0.012828935,0.017840921,0.014275013,0.10484828,0.003272546,0.005040563,0.006502616,0.003331296,0.005131307,0.002814082,0,0.000583574,0.002551092,0.00103361,0,0.000584933,0.001316441,0.002397838,0.020091213,0.003050428,0.001505467,0.005377929,4.67E-05,0.001305021
