,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
border_stretch_hemocytes_dm2,0.639643763,0.499525379,0.338912873,0.331400779,0.429574187,0.12528945,0.194427977,0.280702889,0.089938632,0.106980301,0.114289228,0.342722714,0.529927494,0.439668183,0.450342224,0.135005076,0.243433563,0.046252103,0.091792762,0.15986568,0.157984154,0.076326658,0.201430808,0.248804792,0.285831857,0.105268877,0.225357245
MB_follicle_dm0,0.00064252,0.028671215,0.105762655,0.097942306,0.045695918,0.024745758,0.094725633,0.033556721,0.200995427,0.196137528,0.179179093,0.082438367,0.001174395,0.002262179,0.013145975,0.103994617,0.109272942,0.234369551,0.216464918,0.1496181,0.048248896,0.019233417,0.175973535,0.123114916,0.093270211,0.03630435,0.122121753
ant/cet_MB_follicle_dm1,0.004747282,0.041972029,0.04833285,0.025947749,0.017261478,0.03013796,0.063588781,0.059769189,0.084533494,0.09537137,0.07923266,0.076504512,0.067487212,0.164495868,0.179032254,0.166568585,0.294282233,0.186478076,0.089533173,0.104674957,0.047161762,0.012415937,0.049547733,0.031596941,0.033942782,0.037630652,0.06115184
escort_follicle/pre-follicle_dm3,0.000597256,0.005024234,0.009130606,0.000860577,0.048286713,0.414359542,0.247694642,0.024328028,0.018400772,0.007325139,0.005191636,0.009749985,1.63E-05,0,1.91E-05,0.005673487,0.003186773,0.000747964,0.0010687,0.006708462,0.011314561,0.011844189,0.030006482,0.031015914,0.022075996,0.006875414,0.000312865
germ_dm4,0,0.02072933,0.071245733,0.000556361,0.00019459,2.12E-05,0.049869007,0.009864619,0.017784512,0.022096235,0.015358326,0.003356548,0,0,0,0.009040501,0.06162863,0.07300107,0.347719281,0,0.002121344,0.003268637,0.003181207,0.012538789,0.03386348,0,0.007313345
muscles_dm5,0,0.000703538,0,0,0.000441787,0.063898245,0.016943955,1.29E-05,0.003804277,0.001100019,0.000412446,0.000199479,0,0,0,0.000861892,0.001044586,0,6.28E-05,0,0.006670997,0.590379945,0.00060944,0.000162933,0.000719653,0,0.000820316
